READ_CODE|TERM_60|TERM_ID|DESC_TYPE|RELEASE
XaZlz|Major histocompatibility class I percentage of lymphocytes|Yavk6|P|2012-10-01
XaZMV|Influenza B nucleic acid detection|YavTH|P|2012-10-01
XaZPw|Insulinoma-associated antigen-2 antibody level|YavVP|P|2012-10-01
XSF2u|Allergen specific IgE antibody level|YSOmj|P|2012-10-01
XaZa9|Recombinant Ara h1 peanut specific IgE antibody level|YavcT|P|2012-10-01
XaZjU|Recombinant Ara h2 peanut specific IgE antibody level|Yavj9|P|2012-10-01
XaZeo|Recombinant Ara h3 peanut specific IgE antibody level|YavhL|P|2012-10-01
XaZZq|Recombinant Ara h8 peanut specific IgE antibody level|Yavc7|P|2012-10-01
XaZhc|Recombinant Pru p3 peach specific IgE antibody level|Yavid|P|2012-10-01
XaZYC|Saccharomyces cerevisiae antibody specificity|Yavav|P|2012-10-01
XaZYE|Saccharomyces cerevisiae IgG antibody specificity|Yavax|P|2012-10-01
XaZYD|Saccharomyces cerevisiae IgA antibody specificity|Yavaw|P|2012-10-01
XaZfB|Giardia lamblia antibody specificity|YavhV|P|2012-10-01
XaZZg|Toxoplasma (BAM ELISA) IgM antibody level|Yavc0|P|2012-10-01
XaZhm|CD3-/HLA-DR+ percentage of lymphocytes|Yavig|P|2012-10-01
XaZhZ|CD11a+ percentage of lymphocytes|Yavia|P|2012-10-01
XaZhY|CD18+ percentage of lymphocytes|YaviZ|P|2012-10-01
XaZZt|6-methylmercaptopurine nucleotide level|YavcB|P|2012-10-01
XaZZt|6-MMP (6-methylmercaptopurine) nucleotide level|YavcD|S|2012-10-01
XaZZs|6-thioguanine nucleotide level|YavcA|P|2012-10-01
XaZZs|6-TGN (6-thioguanine) nucleotide level|YavcC|S|2012-10-01
XaZmQ|Fractional excretion of phosphate|YavkE|P|2012-10-01
XaZMZ|Normalised metadrenaline product|YavTK|P|2012-10-01
XaZhR|Transcobalamin level|YaviV|P|2012-10-01
XaZPy|Cocaine and amphetamine regulated transcript peptide level|YavVR|P|2012-10-01
XaZPy|CART (cocaine and amphetamine regulated transcript) level|YavVS|S|2012-10-01
XaZmo|EuroQol five dimension five level index value|Yavkk|P|2012-10-01
XaZmo|EQ-5D-5L (EuroQol five dimension five level) index value|Yavkl|S|2012-10-01
XaZYY|Patient on oxygen|YavbB|P|2012-10-01
XaZke|Supply of medication available at home|YavjS|P|2012-10-01
XaZLF|Life expectancy limiting condition|YavSq|P|2012-10-01
XaZar|Waist to height ratio|Yave7|P|2012-10-01
XaZcl|Baseline body mass index|Yavfq|P|2012-10-01
XaZMj|Target body mass index|YavTP|P|2012-10-01
XaZck|Baseline body mass index centile|Yavfp|P|2012-10-01
XaZOn|Visceral fat percentage of total body composition|YavV1|P|2012-10-01
XaZLC|Total bone mass|YavSn|P|2012-10-01
XaZcj|Baseline waist circumference|Yavfo|P|2012-10-01
XaZL6|Uses Personal Communication Passport|YavSh|P|2012-10-01
XaZWw|Radial pulse rate|YavaX|P|2012-10-01
XaZeP|Post-traumatic stress disorder impact of events scale score|Yavgy|P|2012-10-01
XaZeI|Penn State worry questionnaire score|Yavgu|P|2012-10-01
XaZeH|Obsessive compulsive inventory score|Yavgt|P|2012-10-01
XaZIE|Waterpipe tobacco consumption|YavQK|P|2012-10-01
XaZYt|S/Z (voiceless sound s to voiced sound z) ratio|YavbX|P|2012-10-01
XaZeg|Bowels not opened in last 24 hours|YavhF|P|2012-10-01
XaZQg|Sneezing incontinence of urine|YavVh|P|2012-10-01
XaZl3|Left upper limb volume proximal to distal segment ratio|Yavjk|P|2012-10-01
XaZl1|Right upper limb volume proximal to distal segment ratio|Yavji|P|2012-10-01
XaZkl|Left upper limb total volume|YavjW|P|2012-10-01
XaZkk|Right upper limb total volume|YavjV|P|2012-10-01
XaZky|Percent vol diff between proximal segments of upper limbs|Yavjg|P|2012-10-01
XaZkx|Percent vol diff between distal segments of upper limbs|Yavjf|P|2012-10-01
XaZkv|Quant vol diff between proximal segments of upper limbs|Yavjd|P|2012-10-01
XaZkt|Quant vol diff between distal segments of upper limbs|Yavjc|P|2012-10-01
XaZkn|Left upper limb proximal segment volume|YavjY|P|2012-10-01
XaZkm|Right upper limb proximal segment volume|YavjX|P|2012-10-01
XaZkp|Left upper limb distal segment volume|Yavja|P|2012-10-01
XaZko|Right upper limb distal segment volume|YavjZ|P|2012-10-01
XaZlg|Left lower limb volume proximal to distal segment ratio|Yavjz|P|2012-10-01
XaZlf|Right lower limb volume proximal to distal segment ratio|Yavjy|P|2012-10-01
XaZlG|Left lower limb total volume|Yavjq|P|2012-10-01
XaZlF|Right lower limb total volume|Yavjp|P|2012-10-01
XaZlc|Percentage volume diff between proximal segments lower limbs|Yavjw|P|2012-10-01
XaZlY|Percentage volume diff between distal segments lower limbs|Yavjv|P|2012-10-01
XaZlV|Quantitative vol diff between proximal segments lower limbs|Yavjt|P|2012-10-01
XaZlI|Quantitative vol diff between distal segments of lower limbs|Yavjr|P|2012-10-01
XaZlB|Left lower limb distal segment volume|Yavjo|P|2012-10-01
XaZlA|Right lower limb distal segment volume|Yavjn|P|2012-10-01
XaZl8|Left lower limb proximal segment volume|Yavjm|P|2012-10-01
XaZl7|Right lower limb proximal segment volume|Yavjl|P|2012-10-01
XaZe8|European pressure ulcer advis panel grade press ulcer R foot|Yavgl|P|2012-10-01
XaZeA|European pressure ulcer advis panel grade press ulcer L foot|Yavgn|P|2012-10-01
XaZeB|European pressure ulcer advis panel grade press ulcer R knee|Yavgo|P|2012-10-01
XaZeC|European pressure ulcer advis panel grade press ulcer L knee|Yavgp|P|2012-10-01
XaZeE|European pressure ulcer advis panel grade press ulcer R hip|Yavgr|P|2012-10-01
XaZeF|European pressure ulcer advis panel grade press ulcer L hip|Yavgs|P|2012-10-01
XaZLR|Wound slough|YavT2|P|2012-10-01
XaZHF|Wound epithelialisation|YavPU|P|2012-10-01
XaZJa|Ischaemic lower limb pain at rest|YavRI|P|2012-10-01
XaZJa|Ischaemic leg pain at rest|YavRJ|S|2012-10-01
XaZGd|On solids at 5 months|YavOr|P|2012-10-01
XaZKZ|Parenteral nutrition at birth|YavSA|P|2012-10-01
XaZKX|Parenteral nutrition at 10 days|YavS8|P|2012-10-01
XaZKY|Parenteral nutrition at 6 weeks|YavS9|P|2012-10-01
XaZHb|Able to manage foot care|YavPp|P|2012-10-01
XaZil|Continence care equipment available at home|Yavj1|P|2012-10-01
XaZik|Catheter care equipment available at home|Yavj0|P|2012-10-01
XaZcc|Moving and handling equipment available at home|Yavfh|P|2012-10-01
XaZN3|Keeps essential information in Message in a Bottle|YavTz|P|2012-10-01
XaZJr|Does not have mobile telephone|YavRQ|P|2012-10-01
XaZao|Reads Welsh|Yave6|P|2012-10-01
XaZjR|Member of military family|Yavj8|P|2012-10-01
XaZY6|Dependant of former serving member of British Armed Forces|Yavas|P|2012-10-01
XaZY5|Dependant of current serving member of British Armed Forces|Yavar|P|2012-10-01
XaZNz|Carer has complex care needs|YavUc|P|2012-10-01
XaZNO|Complex care needs|YavUO|P|2012-10-01
XaZYy|Has socially isolated carer|Yavba|P|2012-10-01
XaZJs|Child is cause for safeguarding concern|YavRR|P|2012-10-01
XaZLH|Proctoscopy normal|YavSs|P|2012-10-01
XaZLI|Proctoscopy abnormal|YavSt|P|2012-10-01
XaZcq|Carrier of Connexin 26 gene mutation|Yavfr|P|2012-10-01
XaZRf|Country of origin high risk for blood-borne virus|YavWB|P|2012-10-01
XaZfM|At risk of deprivation of liberty under MCA 2005|Yavhd|P|2012-10-01
XaZMm|At risk of institutional abuse|YavTQ|P|2012-10-01
XaZKq|At risk of unwanted pregnancy|YavSS|P|2012-10-01
XaZZo|At risk of cardiovascular disease|Yavc5|P|2012-10-01
XaZLE|High risk of cardiovascular disease|YavSp|P|2012-10-01
XaZNU|At risk of blood-borne virus infection|YavUT|P|2012-10-01
XaZLG|High risk of diabetes mellitus|YavSr|P|2012-10-01
XaZHg|At high risk of falls|YavPt|P|2012-10-01
XaZMX|At risk of financial abuse|YavTJ|P|2012-10-01
XaZYA|Patient reported disability|Yavat|P|2012-10-01
XaZVX|For attempted cardiopulmonary resuscitation|YavZ6|P|2012-10-01
XaZVX|For attempted CPR (cardiopulmonary resuscitation)|YavZ7|S|2012-10-01
XaZKn|Carer aware of diagnosis|YavSO|P|2012-10-01
XaZKa|Excessive somnolence|YavSB|P|2012-10-01
XaZWX|Loose corneal suture|Yag8N|P|2012-10-01
XaZWT|Loose corneal graft suture|YagAk|P|2012-10-01
XaZd1|Acute non-infective exacerbation of COPD|Yavfv|P|2012-10-01
XaZd1|Acute non-infective exacerbation of COPD|Yavfw|S|2012-10-01
XaZT5|Occlusion of artery of lower limb|YavXC|P|2012-10-01
XaZV1|Occlusion of posterior tibial artery|YavYd|P|2012-10-01
XaZV0|Occlusion of anterior tibial artery|YavYc|P|2012-10-01
XaZT6|Occlusion of dorsalis pedis artery|YavXD|P|2012-10-01
XaZT0|Occlusion of artery of upper limb|YavX7|P|2012-10-01
XaZT3|Occlusion of ulnar artery|YavXA|P|2012-10-01
XaZT2|Occlusion of brachial artery|YavX9|P|2012-10-01
XaZT1|Occlusion of radial artery|YavX8|P|2012-10-01
XaZR8|Renal artery stent thrombosis|YavW1|P|2012-10-01
XaZht|Thrombosis of subclavian vein|Yavio|P|2012-10-01
XaZcx|Amyloid cardiomyopathy|Yavfu|P|2012-10-01
XaZSw|Senile cardiac amyloidosis|YavX2|P|2012-10-01
XaZUz|Chronic pericardial effusion|YavYb|P|2012-10-01
